x,y,outcome,offset,x1,x2,x3
1,1,2,1,1,4.165436214,3.615128554
1,1,31,1,1,3.490813848,4.730644843
1,1,2,1,1,5.704421359,2.000692764
1,1,13,1,1,5.252153537,5.331657557
1,1,96,1,1,8.465240168,6.693889799
1,1,51,1,1,0.583160608,2.307903083
1,1,74,1,1,4.143970117,6.232310964
1,1,87,1,1,5.880341415,6.884142418
1,1,127,1,1,2.846165298,5.906867939
1,1,288,1,1,9.297319278,6.247928301
1,1,68,1,1,3.819704797,6.935271642
1,1,756,1,1,8.766677943,6.91650185
1,1,36,1,1,1.824417977,4.448964538
1,1,19,1,1,1.255155639,4.078053654
1,1,774,1,1,6.680918925,6.995534121
1,1,31,1,1,5.10899892,5.314089816
1,1,227,1,1,8.470147145,6.536948306
1,1,77,1,1,3.012592915,5.829175502
1,1,107,1,1,0.609089419,5.605953342
1,1,320,1,1,9.159044411,6.420146662
1,1,425,1,1,6.130072315,6.850447105
1,1,203,1,1,6.176660208,5.666107862
1,1,54,1,1,4.431115141,4.985156444
1,1,91,1,1,2.893118468,2.271448353
1,1,257,1,1,5.081885765,5.657286427
1,1,92,1,1,7.812055283,4.61059949
1,1,108,1,1,2.875957062,4.941524016
1,1,34,1,1,2.643662365,5.262509343
1,1,104,1,1,7.433939673,6.286260936
1,1,95,1,1,7.752727795,2.435677564
1,1,71,1,1,7.486855055,3.905209054
1,1,75,1,1,8.1656647,4.488497407
1,1,33,1,1,4.422521998,2.3105779
1,1,99,1,1,3.560291985,4.194624648
1,1,50,1,1,2.124643694,2.253404646
1,1,32,1,1,3.138279744,4.015526527
1,1,280,1,1,9.508583734,2.206559365
1,1,179,1,1,4.453140166,5.635601777
1,1,46,1,1,6.329028121,3.268713572
1,1,7,1,1,0.053999097,6.115802195
1,1,134,1,1,1.44857965,6.043634935
1,1,36,1,1,0.861066511,4.13049179
1,1,534,1,1,4.439203951,5.026377869
1,1,32,1,1,0.299301725,3.118903271
1,1,52,1,1,9.109197152,2.241064273
1,1,518,1,1,5.949632647,5.93936611
1,1,51,1,1,7.259096672,3.421386257
1,1,73,1,1,1.432468809,2.688000765
1,1,19,1,1,8.58540575,3.928231834
1,1,271,1,1,2.843983648,6.091232708
1,1,184,1,1,7.83516821,3.260556227
1,1,63,1,1,0.92934934,6.286632614
1,1,77,1,1,2.175260426,3.117607159
1,1,19,1,1,3.35249909,2.003741012
1,1,211,1,1,6.283716397,2.252624575
1,1,169,1,1,6.503499265,2.800577299
1,1,164,1,1,6.426250363,3.215486125
1,1,84,1,1,5.530742876,6.087030816
1,1,34,1,1,1.768061286,3.436854566
1,1,90,1,1,3.466127126,5.94741982
1,1,21,1,1,9.570888046,3.654372832
1,1,166,1,1,6.038252833,5.308299069
1,1,36,1,1,0.014514158,3.009463913
1,1,1244,1,1,8.197146647,6.617047956
1,1,86,1,1,0.889885987,2.72512178
1,1,51,1,1,3.804362497,4.631920724
1,1,170,1,1,5.117541311,6.574429226
1,1,28,1,1,3.861049564,4.180646112
1,1,400,1,1,9.853677775,5.503031508
1,1,316,1,1,8.6295647,4.464109306
1,1,93,1,1,5.851058527,4.344824875
1,1,86,1,1,8.052496134,4.544360299
1,1,57,1,1,3.978912709,2.92800097
1,1,14,1,1,3.937130702,3.378165508
1,1,149,1,1,4.475650581,3.076432007
1,1,248,1,1,7.748341994,5.222564701
1,1,178,1,1,9.82510948,5.556807282
1,1,153,1,1,0.869382364,6.063987413
1,1,55,1,1,8.267760056,5.595683
1,1,20,1,1,3.435014638,6.971419966
1,1,15,1,1,0.262578672,3.43980227
1,1,67,1,1,4.639164711,2.00389451
1,1,33,1,1,2.798255353,5.754140455
1,1,206,1,1,8.380887858,3.90841233
1,1,30,1,1,6.457230526,3.0023824
1,1,307,1,1,5.224350541,6.401575323
1,1,63,1,1,1.04075271,6.378467275
1,1,59,1,1,0.265048702,3.441635481
1,1,66,1,1,1.626009163,5.999171077
1,1,165,1,1,8.080833765,5.514434215
1,1,81,1,1,8.307910626,6.076100147
1,1,11,1,1,8.057366901,3.1061601
1,1,11,1,1,9.107160313,3.499878914
1,1,102,1,1,1.952051754,6.118466744
1,1,205,1,1,7.034263825,4.058452898
1,1,113,1,1,0.00586564,4.656852025
1,1,33,1,1,6.720220568,2.533574048
1,1,118,1,1,8.489283036,4.974847446
1,1,274,1,1,7.430668108,6.42954247
1,1,18,1,1,4.724353848,4.264230724
1,1,28,1,1,8.756260856,2.10710665
1,1,37,1,1,0.388547816,2.745372156
1,1,162,1,1,8.037517361,3.822633433
1,1,29,1,1,3.444089998,5.478524503
1,1,19,1,1,8.645890038,4.253267484
1,1,144,1,1,4.940527828,2.287657036
1,1,162,1,1,0.711021512,4.660451776
1,1,20,1,1,5.609716863,3.059810158
1,1,132,1,1,2.618172547,5.039892125
1,1,162,1,1,2.595002685,5.206209275
1,1,53,1,1,1.83221621,6.05958197
1,1,226,1,1,6.269548811,2.768043209
1,1,9,1,1,6.887307556,3.1138774
1,1,122,1,1,5.377675931,4.558515285
1,1,142,1,1,6.530028326,5.27246273
1,1,108,1,1,8.493138892,2.717624645
1,1,186,1,1,3.242734399,6.195797367
1,1,380,1,1,7.537952858,5.615919576
1,1,45,1,1,0.797125843,5.897132443
1,1,152,1,1,3.770124984,3.032796941
1,1,314,1,1,2.96840316,6.581303945
1,1,53,1,1,7.855971344,4.851766683
1,1,31,1,1,3.743184494,5.821437383
1,1,102,1,1,2.462761944,5.046217597
1,1,245,1,1,7.506522465,6.395302608
1,1,143,1,1,8.615070234,6.194285922
1,1,10,1,1,3.043322464,4.429439687
1,1,44,1,1,8.419868057,6.55909087
1,1,30,1,1,2.81634301,3.351778722
1,1,100,1,1,1.628750454,5.003859656
1,1,45,1,1,5.596807277,2.683206156
1,1,68,1,1,2.747753885,3.182314759
1,1,110,1,1,3.253000112,3.591456613
1,1,92,1,1,5.05996397,4.064935008
1,1,27,1,1,4.306966651,3.635142074
1,1,62,1,1,6.059633738,5.94619645
1,1,182,1,1,5.782411659,2.838245853
1,1,68,1,1,4.008937047,3.558516489
1,1,20,1,1,7.06107812,5.672874209
1,1,1,1,1,6.25360158,3.294859332
1,1,264,1,1,1.185927306,5.266502937
1,1,229,1,1,4.759585358,5.910859037
1,1,51,1,1,1.34104856,2.50246666
1,1,7,1,1,3.553844407,2.454193512
1,1,65,1,1,4.789534347,5.33714457
1,1,43,1,1,5.8316821,5.901596708
1,1,45,1,1,0.502581138,2.460707116
1,1,47,1,1,7.454617168,6.008139765
1,1,95,1,1,5.389251305,6.423446457
1,1,46,1,1,5.597084562,3.19905602
1,1,33,1,1,7.300549365,2.243938114
1,1,170,1,1,3.812969751,5.824561008
1,1,163,1,1,8.124497019,6.113291812
1,1,68,1,1,1.816860846,5.674986138
1,1,51,1,1,4.812277091,2.861255184
1,1,104,1,1,3.627011008,4.32304804
1,1,43,1,1,1.904063642,6.651422076
1,1,66,1,1,9.471664992,4.58363212
1,1,81,1,1,7.832495462,3.371566526
1,1,67,1,1,4.628512615,5.791580683
1,1,64,1,1,7.551526216,4.325988146
1,1,66,1,1,4.883048044,5.284639999
1,1,189,1,1,5.955358778,6.015180033
1,1,42,1,1,0.860315441,5.313660391
1,1,136,1,1,3.156551274,3.657208754
1,1,256,1,1,9.529591706,2.668801221
1,1,81,1,1,4.333197402,4.53976635
1,1,20,1,1,3.054458631,4.383877242
1,1,204,1,1,6.935010974,6.988958686
1,1,329,1,1,9.044966529,5.230404722
1,1,119,1,1,9.979131516,2.141992024
1,1,31,1,1,0.523127266,6.453466458
1,1,166,1,1,1.986909017,3.729557902
1,1,85,1,1,3.182629955,5.542255822
1,1,32,1,1,3.548511377,2.303349209
1,1,39,1,1,1.907131476,5.934978546
1,1,80,1,1,0.865744289,6.449750284
1,1,36,1,1,0.128506695,4.871201107
1,1,9,1,1,9.51682184,2.099828174
1,1,232,1,1,6.195347648,6.458598135
1,1,24,1,1,3.164901965,2.584724087
1,1,26,1,1,1.334368765,5.082982082
1,1,203,1,1,5.274758009,6.711318528
1,1,49,1,1,3.874855443,4.623123361
1,1,64,1,1,7.801109487,3.642126514
1,1,141,1,1,8.9431806,4.144130872
1,1,56,1,1,8.9399426,6.225171327
1,1,54,1,1,1.746228506,3.371742472
1,1,57,1,1,2.825444476,3.899391236
1,1,232,1,1,6.507517707,2.53794126
1,1,28,1,1,6.376848476,2.227118638
1,1,14,1,1,1.229099872,3.250173477
1,1,22,1,1,1.503416723,3.266445852
1,1,15,1,1,5.58699171,2.888296883
1,1,461,1,1,8.949022147,4.625521236
1,1,314,1,1,7.996653325,5.308450943
1,1,135,1,1,5.672056365,2.669181206
1,1,209,1,1,7.503814452,6.05768483
1,1,117,1,1,6.072042648,4.770656928
1,1,145,1,1,8.057852274,2.751222449
1,2,19,1,1,0.098131375,5.721133751
1,2,31,1,1,8.201483554,2.906030523
1,2,31,1,1,3.587379597,2.745576655
1,2,13,1,1,0.759669552,6.056913249
1,2,78,1,1,5.734846665,3.626564263
1,2,17,1,1,3.949712548,5.395805769
1,2,54,1,1,4.907693653,3.075580686
1,2,44,1,1,4.73033861,3.361886803
1,2,35,1,1,3.86091059,4.461431576
1,2,49,1,1,0.848455992,2.313634732
1,2,204,1,1,5.147927227,5.807525735
1,2,72,1,1,6.248008914,2.539937706
1,2,54,1,1,7.555130083,2.73811096
1,2,110,1,1,5.783751554,2.452378087
1,2,131,1,1,8.785897659,6.285552308
1,2,89,1,1,8.678865825,4.421486531
1,2,310,1,1,3.619652253,4.923039886
1,2,79,1,1,0.948182301,2.710900433
1,2,192,1,1,2.257211967,6.677789876
1,2,23,1,1,3.936944198,2.822398226
1,2,119,1,1,5.759601151,4.248365122
1,2,99,1,1,4.574939298,3.903173542
1,2,93,1,1,6.709029641,3.261454605
1,2,46,1,1,4.555301738,5.523345698
1,2,114,1,1,4.846675735,3.197788445
1,2,154,1,1,3.886566727,6.357091545
1,2,5,1,1,0.516105654,2.68064481
1,2,101,1,1,5.411590885,2.899195196
1,2,147,1,1,9.592739318,3.366266219
1,2,86,1,1,0.358181244,3.750930883
1,2,119,1,1,7.757172978,2.671692788
1,2,28,1,1,0.227624345,3.599815709
1,2,58,1,1,5.045194944,2.616172867
1,2,203,1,1,8.73233733,5.60383078
1,2,24,1,1,1.755991477,3.616282961
1,2,32,1,1,0.938140179,6.279681197
1,2,25,1,1,1.684844323,6.257834111
1,2,181,1,1,3.665046955,6.505131437
1,2,33,1,1,3.416426018,4.389639308
1,2,5,1,1,7.33352696,6.079413282
1,2,24,1,1,2.771475776,6.540416873
1,2,179,1,1,8.753371241,3.218924899
1,2,156,1,1,5.912270514,4.918318967
1,2,88,1,1,3.485337412,2.150461225
1,2,178,1,1,6.013498897,5.0850411
1,2,110,1,1,6.317448395,2.102622505
1,2,87,1,1,3.299538657,5.394334837
1,2,115,1,1,9.083324201,6.596987686
1,2,38,1,1,0.271155701,4.895114398
1,2,35,1,1,2.356963066,4.502865619
1,2,35,1,1,1.069612605,2.61678559
1,2,112,1,1,5.54541097,3.795435655
1,2,108,1,1,5.902409301,6.800430045
1,2,112,1,1,5.33369087,2.668413716
1,2,517,1,1,7.993498594,6.680747194
1,2,83,1,1,2.288504202,5.897847932
1,2,51,1,1,1.192902905,3.610995318
1,2,20,1,1,0.403910789,5.054720336
1,2,249,1,1,9.611345565,6.708376118
1,2,106,1,1,3.989969279,5.90959172
1,2,226,1,1,3.839234357,5.911067324
1,2,60,1,1,1.981494291,4.163811512
1,2,46,1,1,5.514030943,2.623406217
1,2,244,1,1,0.561038488,4.854851655
1,2,48,1,1,7.514952142,2.153099175
1,2,58,1,1,7.618732852,2.828581464
1,2,133,1,1,2.425643197,4.575606497
1,2,196,1,1,4.916867201,5.788583816
1,2,260,1,1,3.989927034,6.100174073
1,2,54,1,1,2.874739674,5.328454017
1,2,167,1,1,2.761082179,5.890229519
1,2,115,1,1,8.195256703,2.250465716
1,2,75,1,1,3.002943964,6.110212521
1,2,138,1,1,4.724141857,5.060850583
1,2,438,1,1,9.402574247,5.196548398
1,2,107,1,1,4.270494159,2.553463754
1,2,63,1,1,7.099780283,4.681295223
1,2,44,1,1,3.294309645,2.470327688
1,2,53,1,1,5.99404363,2.77971734
1,2,132,1,1,3.974134509,5.502492726
1,2,76,1,1,7.268445152,6.359994354
1,2,6,1,1,2.392839642,4.350555338
1,2,98,1,1,3.960670553,5.836177601
1,2,138,1,1,7.391512415,2.935430906
1,2,180,1,1,8.931117665,4.363959421
1,2,160,1,1,3.156088397,6.973932086
1,2,101,1,1,7.326157741,5.595943997
1,2,80,1,1,9.075148456,6.840093409
1,2,93,1,1,7.253021542,2.487684989
1,2,178,1,1,1.585011146,6.650886282
1,2,6,1,1,2.429903882,4.088510633
1,2,53,1,1,3.911173776,5.272837905
1,2,448,1,1,4.131655858,6.376668726
1,2,65,1,1,3.206826421,3.220129271
1,2,100,1,1,9.720106466,5.860487201
1,2,23,1,1,5.835500042,4.671664679
1,2,81,1,1,1.771952618,3.60781168
1,2,128,1,1,2.875856944,3.077915175
1,2,149,1,1,7.040497036,3.815128948
1,2,26,1,1,0.4771324,5.965393368
1,2,109,1,1,3.832921875,5.695392535
1,2,19,1,1,0.401866451,2.382023045
1,2,25,1,1,1.1705307,3.674960969
1,2,54,1,1,8.556792408,2.717672966
1,2,245,1,1,4.419704551,6.711487416
1,2,59,1,1,0.91986192,3.157618722
1,2,158,1,1,7.045313838,2.335516251
1,2,17,1,1,1.008282104,6.408089747
1,2,118,1,1,5.369467728,4.869233326
1,2,145,1,1,0.405922034,5.396058724
1,2,270,1,1,8.923495686,4.488097069
1,2,101,1,1,4.983201757,4.326018936
1,2,58,1,1,2.407807214,3.525700315
1,2,69,1,1,0.564443098,5.514424879
1,2,42,1,1,8.722433762,2.362366563
1,2,13,1,1,1.541922144,2.360121069
1,2,61,1,1,4.977765531,5.328939038
1,2,56,1,1,8.06576652,5.285108809
1,2,70,1,1,7.259371168,2.190724318
1,2,160,1,1,3.889631127,4.90984035
1,2,6,1,1,4.532453005,3.700784373
1,2,128,1,1,8.782325486,5.9751951
1,2,127,1,1,8.083845618,4.331731348
1,2,134,1,1,2.715801508,6.703068855
1,2,42,1,1,2.162500215,3.225515598
1,2,52,1,1,2.157977908,4.302252112
1,2,107,1,1,3.821104372,5.784689147
1,2,184,1,1,3.350963562,2.901657006
1,2,66,1,1,2.995643789,5.445140716
1,2,64,1,1,6.436617711,4.113921721
1,2,202,1,1,8.901887332,5.577726095
1,2,10,1,1,3.474061939,3.424788263
1,2,51,1,1,2.655007623,3.296611394
1,2,134,1,1,8.281430391,2.006467208
1,2,77,1,1,3.714021877,3.847663474
1,2,32,1,1,9.094067809,2.181359112
1,2,47,1,1,6.103344583,5.230489434
1,2,57,1,1,0.881789931,2.186764594
1,2,31,1,1,0.08186438,5.222239226
1,2,14,1,1,6.6840915,2.025957182
1,2,81,1,1,5.877721483,5.277227078
1,2,80,1,1,6.282773039,3.457358976
1,2,59,1,1,8.599226323,5.088188888
1,2,235,1,1,3.315703447,4.334241947
1,2,118,1,1,7.610297334,6.87923929
1,2,304,1,1,5.841802189,4.839448732
1,2,98,1,1,6.499351118,3.961904344
1,2,90,1,1,6.777650029,4.043288542
1,2,32,1,1,5.902705203,6.308827876
1,2,81,1,1,0.434614395,4.82994077
1,2,70,1,1,7.83745366,4.942979574
1,2,368,1,1,7.938445251,5.599286193
1,2,15,1,1,1.115672985,2.543594812
1,2,65,1,1,7.418092237,3.22641702
1,2,51,1,1,7.516287386,5.342263598
1,2,168,1,1,2.151536908,4.449883006
1,2,58,1,1,4.136914485,3.799804718
1,2,83,1,1,0.949854336,2.103228415
1,2,245,1,1,6.061779057,4.809448895
1,2,40,1,1,6.377451299,5.582194288
1,2,128,1,1,9.158198999,4.797348704
1,2,59,1,1,4.11744081,3.353856547
1,2,61,1,1,2.401901024,3.387875564
1,2,32,1,1,5.161887103,2.426373582
1,2,31,1,1,1.48568496,6.888851414
1,2,100,1,1,6.819793444,2.506280372
1,2,112,1,1,5.222998685,6.449211256
1,2,126,1,1,3.039101159,5.429417994
1,2,375,1,1,9.448135377,3.736149152
1,2,10,1,1,7.36665751,6.100218677
1,2,58,1,1,6.679598607,2.112409785
1,2,24,1,1,7.065281779,4.756080011
1,2,109,1,1,5.828938128,4.458494719
1,2,33,1,1,6.705133936,2.23798042
1,2,288,1,1,9.75338903,4.316933779
1,2,76,1,1,8.181062342,4.314937038
1,2,116,1,1,3.496465673,2.965411409
1,2,297,1,1,8.289878159,5.708755728
1,2,46,1,1,3.631137513,2.55830456
1,2,43,1,1,4.685266065,3.910664843
1,2,46,1,1,3.475689117,4.89905099
1,2,68,1,1,5.552008966,4.07863193
1,2,32,1,1,2.305972346,2.984205076
1,2,53,1,1,1.533173123,2.88102542
1,2,134,1,1,8.02839898,3.803459959
1,2,84,1,1,3.628361061,5.793352213
1,2,20,1,1,0.565167059,2.247564546
1,2,110,1,1,9.690252759,2.234162314
1,2,66,1,1,7.285713098,3.000991123
1,2,21,1,1,1.025966328,5.769555685
1,2,32,1,1,3.898697905,2.798323568
1,2,71,1,1,5.057707392,3.4453207
1,2,68,1,1,4.673004195,5.221456579
1,2,85,1,1,0.454012384,4.700950336
1,2,25,1,1,5.494056402,4.664527781
1,2,123,1,1,5.407279773,2.438896727
1,2,45,1,1,7.761702231,5.021256582
1,2,27,1,1,5.606859216,2.010615741
1,2,147,1,1,5.443500886,4.91315536
1,2,101,1,1,4.240019799,5.287466281
1,3,144,1,1,3.839614489,5.342669779
1,3,71,1,1,3.39136293,2.345391751
1,3,181,1,1,8.096149996,4.915269012
1,3,57,1,1,1.335374071,3.728546995
1,3,75,1,1,8.519365947,4.306366365
1,3,104,1,1,5.096075228,6.196095168
1,3,400,1,1,8.724529004,5.846476201
1,3,50,1,1,0.134504584,5.081764818
1,3,222,1,1,4.169727284,6.268028137
1,3,60,1,1,4.427759695,2.996423837
1,3,109,1,1,7.911887083,5.618704002
1,3,36,1,1,0.52765254,4.305790732
1,3,108,1,1,3.531149444,4.822811302
1,3,4,1,1,3.899679615,4.472026051
1,3,78,1,1,3.005470121,6.362000548
1,3,39,1,1,2.847630736,6.193332496
1,3,15,1,1,1.776453355,5.522703566
1,3,53,1,1,3.202652473,2.393589351
1,3,28,1,1,5.422690929,2.506719726
1,3,35,1,1,1.416193653,2.911219792
1,3,99,1,1,8.877324473,4.228945722
1,3,94,1,1,5.678554103,4.628313225
1,3,249,1,1,7.006674199,4.428935652
1,3,127,1,1,4.025948162,3.562043315
1,3,11,1,1,9.950104493,2.007532692
1,3,205,1,1,7.505449648,3.167383796
1,3,55,1,1,2.213535925,4.281396409
1,3,163,1,1,7.774485976,6.261519154
1,3,183,1,1,7.032624922,5.847776147
1,3,74,1,1,0.560107063,6.155328665
1,3,116,1,1,8.14375379,5.727918017
1,3,123,1,1,1.496195973,4.538162757
1,3,230,1,1,4.460088612,3.378078898
1,3,237,1,1,7.096295741,3.094600663
1,3,146,1,1,7.283402154,4.199282124
1,3,72,1,1,1.038026853,6.038721127
1,3,105,1,1,3.887002172,2.176824592
1,3,45,1,1,4.521646757,6.799919828
1,3,90,1,1,5.603337079,2.01918751
1,3,172,1,1,1.018143989,6.509003895
1,3,58,1,1,1.780957298,3.214233761
1,3,46,1,1,5.074257256,3.276792959
1,3,68,1,1,6.5139529,5.804625135
1,3,88,1,1,2.978039643,5.201484629
1,3,24,1,1,2.127770027,2.7919166
1,3,66,1,1,9.819761563,4.590673249
1,3,217,1,1,7.208773451,4.752185468
1,3,116,1,1,2.001513887,6.854747671
1,3,9,1,1,0.126991147,5.393891264
1,3,67,1,1,1.877307801,5.313906412
1,3,28,1,1,6.36026404,6.102170864
1,3,65,1,1,1.71554267,5.329602982
1,3,64,1,1,1.833344829,2.751064715
1,3,190,1,1,4.746035172,3.702224464
1,3,191,1,1,3.453496833,5.868462754
1,3,44,1,1,7.522444675,5.368437693
1,3,34,1,1,6.385132941,2.137152715
1,3,83,1,1,2.682505542,6.90060597
1,3,95,1,1,0.576889658,2.680648694
1,3,114,1,1,5.869244407,4.437327311
1,3,49,1,1,3.11352649,4.916728477
1,3,125,1,1,3.082399371,4.948914263
1,3,28,1,1,7.850637303,6.628932797
1,3,188,1,1,3.160824586,4.705578275
1,3,37,1,1,5.00476026,2.22560476
1,3,372,1,1,3.77199725,5.574337037
1,3,267,1,1,3.473935786,4.894807321
1,3,65,1,1,6.988472917,2.046554531
1,3,51,1,1,1.130490065,4.37835744
1,3,108,1,1,2.62942416,6.172888165
1,3,214,1,1,4.440122505,5.943985772
1,3,6,1,1,5.944210098,2.994657232
1,3,441,1,1,5.187732136,4.277374624
1,3,31,1,1,0.191442336,5.542437749
1,3,253,1,1,9.235226043,3.735764122
1,3,374,1,1,9.448571997,5.602647747
1,3,49,1,1,2.426580592,4.641809487
1,3,115,1,1,5.565637518,3.258832764
1,3,115,1,1,5.311977412,4.785718904
1,3,442,1,1,8.45751768,6.461895885
1,3,545,1,1,8.453873126,6.329892968
1,3,302,1,1,3.286669727,5.102919956
1,3,351,1,1,5.208946333,6.706461244
1,3,28,1,1,8.980776464,2.50265177
1,3,570,1,1,8.343074579,6.399016209
1,3,59,1,1,0.093572658,2.598440736
1,3,67,1,1,8.683789716,4.346602553
1,3,199,1,1,0.185603281,6.641835391
1,3,109,1,1,4.366638602,3.799569992
1,3,130,1,1,8.632419617,2.19715672
1,3,136,1,1,1.66370763,5.306095813
1,3,43,1,1,4.231415091,4.459904089
1,3,161,1,1,6.718590749,5.117341402
1,3,8,1,1,3.785577206,2.979853203
1,3,95,1,1,0.862546858,6.580547344
1,3,67,1,1,2.112480716,4.862911
1,3,198,1,1,6.454084579,3.673677494
1,3,49,1,1,4.971476416,3.808946161
1,3,189,1,1,8.283322588,5.616227184
1,3,59,1,1,0.34736029,6.500246334
1,3,19,1,1,6.041767875,3.602809313
1,3,82,1,1,4.996766813,6.379853364
1,3,73,1,1,3.775218409,2.84287754
1,3,24,1,1,3.48523794,3.802688292
1,3,52,1,1,7.578170091,2.618149203
1,3,75,1,1,5.615592538,2.366893708
1,3,297,1,1,7.918243487,4.425951335
1,3,23,1,1,0.357209541,5.245195792
1,3,19,1,1,9.082731278,2.287521793
1,3,283,1,1,9.322903181,6.000470183
1,3,132,1,1,0.355282494,6.728256744
1,3,43,1,1,1.757303279,2.294001601
1,3,290,1,1,8.630520325,4.293797957
1,3,31,1,1,5.394090092,4.885126063
1,3,9,1,1,1.302409952,3.015473633
1,3,92,1,1,4.432537761,5.670124213
1,3,130,1,1,2.847852237,4.562959303
1,3,62,1,1,5.163139584,4.208873941
1,3,79,1,1,2.205370201,2.973882539
1,3,61,1,1,6.933693801,2.276240994
1,3,185,1,1,8.384147688,4.561720317
1,3,71,1,1,6.966068904,2.50989912
1,3,130,1,1,2.132756925,5.854729533
1,3,174,1,1,3.174504558,6.852859084
1,3,28,1,1,1.052158376,2.347816141
1,3,123,1,1,4.740484717,4.75271356
1,3,26,1,1,4.740256304,2.445716677
1,3,370,1,1,5.915349486,6.863415975
1,3,146,1,1,3.048407598,6.2699708
1,3,127,1,1,3.519003422,6.931413413
1,3,78,1,1,7.648612993,2.412613845
1,3,62,1,1,5.802570714,5.83760885
1,3,166,1,1,5.79894717,5.87254902
1,3,59,1,1,4.033202537,6.872906306
1,3,59,1,1,2.362518997,6.876316008
1,3,92,1,1,9.42390373,5.692611074
1,3,53,1,1,4.761927958,3.163246749
1,3,126,1,1,9.185388717,3.1364336
1,3,8,1,1,4.395878227,6.284142534
